price_bin,net_load_bin,soc_bin,time_block,weekend,q_discharge,q_hold,q_charge,visits_discharge,visits_hold,visits_charge,state_visits,best_action,best_action_index,best_environment_action
0,3,1,2,0,-77.759298033257,-75.46813995378064,-79.51677881356012,2087,3258,2080,7425,hold,1,0
0,3,1,2,1,-65.49243672514712,-65.3982802354757,-61.28936362125451,420,1581,615,2616,charge,2,1
0,3,1,3,0,-69.24817790749574,-71.48961275886377,-71.60545165224943,145,84,65,294,discharge,0,-1
0,3,1,3,1,-60.059319693407964,-60.1683864756457,-60.05146784136402,52,47,38,137,charge,2,1
0,3,2,0,0,-50.2282287896301,-48.17832939805331,-48.913244947051396,14,13,13,40,hold,1,0
0,3,2,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,3,2,1,0,-68.38149842163088,-70.556423067059,-73.66177010411863,1096,1646,938,3680,discharge,0,-1
0,3,2,1,1,-56.1204280001349,-59.24618379321952,-59.19159353350524,229,319,292,840,discharge,0,-1
0,3,2,2,0,-77.51431664790495,-77.38039041058991,-74.98425822626527,2560,4248,5421,12229,charge,2,1
0,3,2,2,1,-64.77780716775666,-64.47640057834782,-63.540153432401794,548,1699,1260,3507,charge,2,1
0,3,2,3,0,-67.42806888378881,-70.22872653414527,-70.13410405140719,173,93,71,337,discharge,0,-1
0,3,2,3,1,-59.68262960996728,-59.73987604066246,-59.671626729028354,75,66,53,194,charge,2,1
0,3,3,0,0,-27.58733506133873,-24.465925716788703,-25.17352329884948,7,6,7,20,hold,1,0
0,3,3,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
0,3,3,1,0,-71.58537758352986,-70.61057693900577,-71.42989550442974,1233,1345,1563,4141,hold,1,0
0,3,3,1,1,-55.51251218707789,-53.78811383331224,-55.82018683300929,259,373,223,855,hold,1,0
0,3,3,2,0,-74.586492389461,-73.33864428948617,-73.79309806926842,3890,9679,5714,19283,hold,1,0
0,3,3,2,1,-61.93097702203771,-59.30175743981404,-61.01912697509611,1173,2167,1486,4826,hold,1,0
0,3,3,3,0,-68.45507021203798,-69.0575140668793,-68.92727204147721,218,237,201,656,discharge,0,-1
0,3,3,3,1,-57.80408623075459,-58.77556337648469,-58.73129687431157,140,81,74,295,discharge,0,-1
1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,0,1,0,-58.00066496023399,-56.78625295605113,-59.776429331472976,3339,2160,431,5930,hold,1,0
1,0,0,1,1,-42.98721043510911,-44.476091870925615,-47.15454121565827,919,1193,208,2320,discharge,0,-1
1,0,0,2,0,-61.591109042239296,-60.098719971028736,-62.97228802448268,491,406,94,991,hold,1,0
1,0,0,2,1,-43.775158191891066,-44.931443011233945,-44.24814472974994,36,30,24,90,discharge,0,-1
1,0,0,3,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,0,3,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,1,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,1,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,0,1,1,0,-54.4636717388347,-56.934942436454456,-57.98054278675051,793,637,147,1577,discharge,0,-1
