episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
48,-29409.438831927808,28334.2115755567,295011.45313850476,107522.72563711826,0.050000000000000044,0.050000000000000044,10.0,420480,104621,420,2.244280132093386,4.497488975524902,99.26683807373047,101.14521789550781,17.779176712036133,2787,3020,2953
49,-29330.814059452587,28261.228697873656,295107.79324376816,106958.53615789366,0.050000000000000044,0.050000000000000044,95.0,429240,106811,429,2.2400384380120664,4.531433582305908,98.58165740966797,102.38894653320312,18.349964141845703,2817,2965,2978
50,-29431.512262994915,28403.42501460161,295123.63425761886,102808.7248393342,0.050000000000000044,0.050000000000000044,10.0,438000,109001,438,2.311319255284523,4.379424095153809,98.79779815673828,101.9792709350586,17.70771598815918,2566,2996,3198
51,-29338.896390852282,28291.564843760876,294922.2559058175,104733.15470914023,0.050000000000000044,0.050000000000000044,10.0,446760,111191,446,2.3439105110897867,4.5431928634643555,99.36807250976562,102.77304077148438,16.323226928710938,2722,3073,2965
52,-29401.19838764177,28392.086705868925,294829.2145927985,100911.16817728443,0.050000000000000044,0.050000000000000044,10.0,455520,113381,455,2.34732603297386,4.625561237335205,99.85688781738281,104.42784118652344,18.514772415161133,2489,3249,3022
53,-29384.83102338369,28344.337219394805,294881.8654293641,104049.38039889085,0.050000000000000044,0.050000000000000044,10.0,464280,115571,464,2.257672802443918,4.785299301147461,100.45734405517578,104.06419372558594,15.765530586242676,2632,3100,3028
54,-29449.96613288437,28447.49435529439,295110.1498559567,100247.17775900199,0.050000000000000044,0.050000000000000044,10.0,473040,117761,473,2.2261052978637554,4.317293643951416,98.26133728027344,100.93865966796875,16.10715103149414,2627,2929,3204
55,-29445.77483808658,28436.426613903797,294811.42643767415,100934.82241828188,0.050000000000000044,0.050000000000000044,10.0,481800,119951,481,2.2778552562406618,4.263102054595947,102.07793426513672,104.98303985595703,19.37960433959961,2587,3075,3098
56,-29431.463474521846,28412.479852001088,294675.88000554114,101898.36225207665,0.050000000000000044,0.050000000000000044,10.0,490560,122141,490,2.3945437240001817,4.829342365264893,104.31742095947266,104.83879089355469,15.228014945983887,2590,3001,3169
57,-29489.464550297693,28484.20921700136,294700.67612188484,100525.53332963897,0.050000000000000044,0.050000000000000044,95.0,499320,124331,499,2.4345464133508674,5.1905951499938965,101.5525131225586,102.60504913330078,15.787652969360352,2526,3039,3195
58,-29491.557491213476,28474.99032827725,294781.56486703764,101656.71629362804,0.050000000000000044,0.050000000000000044,10.0,508080,126521,508,2.306094578738626,4.349792003631592,99.76160430908203,103.59803771972656,14.80255126953125,2603,3014,3143
59,-29415.034074064068,28345.088263094578,294676.6163074803,106994.5810969521,0.050000000000000044,0.050000000000000044,10.0,516840,128711,516,2.2842935519947853,4.7143049240112305,98.83596801757812,101.70586395263672,15.31860637664795,2781,2928,3051
60,-29427.949868131436,28350.281193062212,294876.3269556794,107766.86750692417,0.050000000000000044,0.050000000000000044,10.0,525600,130901,525,2.22429096298675,4.060342788696289,98.9369888305664,99.67314147949219,16.86107063293457,2795,2925,3040
61,-29458.45410161314,28378.864059646472,294631.3380914142,107959.00419667513,0.050000000000000044,0.050000000000000044,10.0,534360,133091,534,2.2528261598386723,6.152999401092529,100.82909393310547,102.54076385498047,16.646080017089844,2711,2937,3112
62,-29462.00580201467,28344.310107970326,294812.0099584501,111769.56940443108,0.050000000000000044,0.050000000000000044,10.0,543120,135281,543,2.2880802828699487,4.8675007820129395,101.71981048583984,102.56281280517578,18.082050323486328,2930,3048,2782
63,-29482.110732923305,28399.14372710623,294829.16480055486,108296.70058171643,0.050000000000000044,0.050000000000000044,10.0,551880,137471,551,2.3846716291011743,4.7627692222595215,100.0858383178711,104.41751098632812,15.660348892211914,3064,2950,2746
64,-29446.21950480073,28348.42958920518,294884.6578282561,109778.99155955572,0.050000000000000044,0.050000000000000044,10.0,560640,139661,560,2.3696667949086456,4.85303258895874,101.72038269042969,102.37760925292969,15.690512657165527,3042,2895,2823
65,-29443.150365245747,28374.46458898543,294509.7672132976,106868.577626038,0.050000000000000044,0.050000000000000044,10.0,569400,141851,569,2.3315444052491556,4.463529586791992,103.681884765625,104.191650390625,15.995290756225586,2919,2934,2907
66,-29425.33817073384,28344.37049128798,294853.24077285454,108096.76794459733,0.050000000000000044,0.050000000000000044,57.5,578160,144041,578,2.271404297520581,5.097914695739746,102.36883544921875,102.61282348632812,14.851892471313477,2894,3145,2721
67,-29444.254938209964,28371.008558514666,294466.25773130276,107324.6379695281,0.050000000000000044,0.050000000000000044,10.0,586920,146231,586,2.319715289029901,4.470964431762695,107.71897888183594,106.35965728759766,16.652578353881836,2947,3093,2720
68,-29385.529000456452,28307.803218766763,294555.03912188497,107772.57816897417,0.050000000000000044,0.050000000000000044,10.0,595680,148421,595,2.283690711461246,4.2402424812316895,101.75223541259766,104.55123901367188,18.252458572387695,2823,3172,2765
69,-29418.980623464755,28333.294823935714,294681.17334626167,108568.57995290737,0.050000000000000044,0.050000000000000044,10.0,604440,150611,604,2.2447751916706835,4.587324619293213,103.57154083251953,101.59740447998047,15.735270500183105,2993,3111,2656
70,-29450.54732908115,28370.66644176822,294484.5030277024,107988.08873130094,0.050000000000000044,0.050000000000000044,10.0,613200,152801,613,2.2737821428198792,4.8259429931640625,104.19475555419922,102.33361053466797,14.694989204406738,2950,3086,2724
71,-29409.3322628871,28306.41630610046,294619.0676786711,110291.59567866915,0.050000000000000044,0.050000000000000044,10.0,621960,154991,621,2.316328291615395,4.399855136871338,101.30042266845703,101.66500854492188,15.527752876281738,3024,2945,2791
72,-29417.20345252499,28294.65564141693,294648.9117036017,112254.78111080208,0.050000000000000044,0.050000000000000044,11.014736842105265,630720,157181,630,2.3484895504772934,5.043164253234863,98.57035064697266,100.09806060791016,16.60487937927246,3182,3064,2514
73,-29403.674740782742,28302.125611669213,294310.2577700839,110154.91291135615,0.050000000000000044,0.050000000000000044,10.0,639480,159371,639,2.2713026569586368,4.672313690185547,100.43804931640625,100.86909484863281,17.71737289428711,3235,2993,2532
74,-29432.395894799996,28326.692907265384,294769.8715927993,110570.29875346141,0.050000000000000044,0.050000000000000044,10.0,648240,161561,648,2.2104818855518618,4.214532375335693,98.39714813232422,100.8231430053711,16.222091674804688,3092,3369,2299
75,-29367.368569500268,28288.09844265825,294515.03567036154,107927.01268420952,0.050000000000000044,0.050000000000000044,10.0,657000,163751,657,2.2207814453399344,4.356565952301025,98.58719635009766,100.33967590332031,16.670148849487305,3001,3289,2470
76,-29413.57247677785,28346.24908024053,294556.83629639994,106732.33965373847,0.050000000000000044,0.050000000000000044,10.0,665760,165941,665,2.285147970778757,4.474405765533447,99.53180694580078,100.94306182861328,16.2164363861084,2829,3141,2790
77,-29373.310555460153,28355.77641659603,294411.16465374007,101753.4138864258,0.050000000000000044,0.050000000000000044,10.0,674520,168131,674,2.288842136865337,4.244640350341797,99.94927215576172,101.7474136352539,18.23627471923828,2636,3314,2810
78,-29381.390826442363,28327.54124056984,294530.06292797945,105384.95858725674,0.050000000000000044,0.050000000000000044,10.0,683280,170321,683,2.1451488854133918,4.039130687713623,99.38863372802734,99.6340560913086,18.632122039794922,2731,3224,2805
79,-29380.06300375796,28357.881262926985,294584.8203241012,102218.17408310148,0.050000000000000044,0.050000000000000044,10.0,692040,172511,692,2.227990432008761,4.311707973480225,99.9040298461914,101.29055786132812,17.278196334838867,2564,3155,3041
80,-29361.172310831866,28335.15994393439,294388.74554016755,102601.23668974979,0.050000000000000044,0.050000000000000044,31.777894736842107,700800,174701,700,2.233924615519232,4.489635467529297,101.21846771240234,102.79713439941406,17.070999145507812,2388,3288,3084
81,-29293.977148894217,28218.16959313256,294267.2652077579,107580.75557617612,0.050000000000000044,0.050000000000000044,10.0,709560,176891,709,2.2368546123646165,4.445858478546143,101.04071807861328,101.40753173828125,15.34666919708252,2796,3030,2934
82,-29389.675792920563,28323.3337069373,294560.34714958625,106634.208598337,0.050000000000000044,0.050000000000000044,10.0,718320,179081,718,2.2297966372749034,4.566496849060059,101.17659759521484,102.2366714477539,17.15581512451172,2683,3354,2723
